Date/Time, Temperature A, Temperature B, Damper 
03/04/2018 08:15:44, 27.93477, 34.02692, 20
03/04/2018 09:15:48, 27.93199, 34.05192, 20
03/04/2018 10:15:55, 27.98199, 34.06859, 20
03/04/2018 11:16:00, 28.082, 34.27139, 20
03/04/2018 12:16:04, 28.09867, 34.27694, 20
03/04/2018 13:16:10, 28.05145, 34.37695, 20
03/04/2018 14:16:15, 28.09034, 34.46029, 20
03/04/2018 15:16:19, 28.11534, 34.62697, 20
03/04/2018 16:16:23, 28.10423, 34.65753, 20
03/04/2018 17:16:31, 28.15979, 34.72698, 20
03/04/2018 18:16:38, 28.13201, 34.84921, 20
03/04/2018 19:16:43, 28.1709, 34.79642, 20
03/04/2018 20:16:49, 28.18201, 34.98533, 20
03/04/2018 21:16:54, 28.2209, 35.05479, 20
03/04/2018 22:17:00, 28.21812, 35.16868, 20
03/04/2018 23:17:06, 28.27646, 35.26035, 20
03/05/2018 00:17:11, 28.27369, 35.28814, 20
03/05/2018 01:17:17, 28.31536, 35.37147, 20
03/05/2018 02:17:24, 28.32369, 35.56038, 20
03/05/2018 03:17:30, 28.34592, 35.56594, 20
03/05/2018 04:17:35, 28.3348, 35.65205, 20
03/05/2018 05:17:41, 28.38758, 35.76318, 20
03/05/2018 06:17:46, 28.45425, 35.82985, 20
03/05/2018 07:17:53, 28.44592, 35.90763, 20
03/05/2018 08:17:57, 28.45425, 36.06597, 20
03/05/2018 09:18:02, 28.45703, 36.14376, 20
03/05/2018 10:18:09, 28.55148, 36.24932, 20
03/05/2018 11:18:12, 28.6265, 36.36877, 20
03/05/2018 12:18:17, 28.67927, 36.366, 20
03/05/2018 13:18:23, 28.65705, 36.42434, 20
03/05/2018 14:18:29, 28.65149, 36.43545, 20
03/05/2018 15:18:36, 28.73206, 36.491, 20
03/05/2018 16:18:41, 28.65704, 36.5299, 20
03/05/2018 17:18:49, 28.66816, 36.57713, 20
03/05/2018 18:18:52, 28.69872, 36.57157, 20
03/05/2018 19:18:53, 28.70427, 36.57435, 20
03/05/2018 20:18:59, 28.77095, 36.62157, 20
03/05/2018 21:19:06, 28.7515, 36.66047, 20
03/05/2018 22:19:14, 28.77929, 36.65213, 20
03/05/2018 23:19:21, 28.77651, 36.66602, 20
03/06/2018 00:19:30, 28.83207, 36.71047, 20
03/06/2018 01:19:29, 28.83484, 36.76603, 20
03/06/2018 02:19:39, 28.8904, 36.78826, 20
03/06/2018 03:19:47, 28.88762, 36.77714, 20
03/06/2018 04:19:57, 28.92096, 36.78825, 20
03/06/2018 05:20:06, 28.90985, 36.8327, 20
03/06/2018 06:20:15, 28.96819, 36.83826, 20
03/06/2018 07:20:24, 28.95707, 36.88271, 20
03/06/2018 08:20:28, 28.99597, 36.88271, 85.45454
03/06/2018 09:20:33, 28.99597, 36.89382, 100
03/06/2018 10:20:36, 29.09597, 36.9966, 100
03/06/2018 11:20:45, 29.09597, 37.07439, 100
03/06/2018 12:20:50, 29.14875, 37.00216, 100
03/06/2018 13:20:55, 29.12653, 37.1105, 100
03/06/2018 14:21:04, 29.15986, 37.03828, 100
03/06/2018 15:21:07, 29.18209, 37.15218, 100
03/06/2018 16:21:13, 29.2321, 37.20218, 93.33334
03/06/2018 17:21:20, 29.22654, 37.27163, 20
03/06/2018 18:21:26, 29.18765, 37.24662, 20
03/06/2018 19:21:36, 29.13764, 37.21885, 20
03/06/2018 20:21:39, 29.21265, 37.26607, 20
03/06/2018 21:21:41, 29.20987, 37.27441, 20
03/06/2018 22:21:42, 29.26821, 37.32996, 20
